_id,acoust,speech,tempo,cloudcover,temperature,studying
06/01/2021 00:54,FALSE,FALSE,FALSE,75,0.1,0
06/01/2021 00:55,FALSE,FALSE,FALSE,75,0.1,0
06/01/2021 00:57,FALSE,FALSE,FALSE,75,0.1,0
06/01/2021 00:58,FALSE,FALSE,FALSE,75,0.1,0
06/01/2021 01:00,FALSE,FALSE,FALSE,75,0.1,0
06/01/2021 01:01,FALSE,FALSE,FALSE,75,0.1,0
06/01/2021 01:03,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:04,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:06,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:07,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:09,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:10,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:12,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:13,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:15,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:16,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:18,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:19,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:21,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:22,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:24,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:25,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:27,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:28,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:30,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:31,FALSE,FALSE,FALSE,75,-0.4,0
06/01/2021 01:33,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:34,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:36,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:37,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:39,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:40,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:42,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:43,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:45,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:46,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:48,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:49,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:51,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:52,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:54,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:55,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:57,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 01:58,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 02:00,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 02:01,FALSE,FALSE,FALSE,90,-0.2,0
06/01/2021 02:03,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:04,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:06,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:07,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:09,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:10,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:12,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:13,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:15,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:16,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:18,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:19,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:21,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:22,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:24,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:25,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:27,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:28,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:30,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:31,FALSE,FALSE,FALSE,100,0.3,0
06/01/2021 02:33,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:34,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:36,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:37,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:39,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:40,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:42,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:43,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:45,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:46,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:48,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:49,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:51,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:52,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:54,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:55,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:57,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 02:58,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 03:00,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 03:01,FALSE,FALSE,FALSE,100,0.7,0
06/01/2021 03:03,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:04,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:06,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:07,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:09,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:10,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:12,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:13,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:15,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:16,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:18,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:19,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:21,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:22,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:24,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:25,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:27,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:28,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:30,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:31,FALSE,FALSE,FALSE,90,0.3,0
06/01/2021 03:33,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:34,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:36,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:37,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:39,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:40,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:42,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:43,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:45,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:46,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:48,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:49,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:51,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:52,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:54,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:55,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:57,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 03:58,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 04:00,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 04:01,FALSE,FALSE,FALSE,100,-0.1,0
06/01/2021 04:03,FALSE,FALSE,FALSE,100,-0.2,0
